?s	?ord	?t	?form	?lemma	?pos	?head	?rel	?ctsurn
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s1_0>	"1"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_1>	"λόγος"	"λόγος"	"n-s---mn-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_3>	"SBJ"	<urn:cts:greekLit:tlg0011.tlg001:1>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s1_0>	"2"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_2>	"μέν"	"μέν"	"g--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_3>	"AuxY"	<urn:cts:greekLit:tlg0011.tlg001:1>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s1_0>	"3"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_3>	"ἐστ'"	"εἰμί"	"v3spia---"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_0>	"PRED"	<urn:cts:greekLit:tlg0011.tlg001:1>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s1_0>	"4"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_4>	"ἀρχαῖος"	"ἀρχαῖος"	"a-s---mn-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_6>	"ATV"	<urn:cts:greekLit:tlg0011.tlg001:1>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s1_0>	"5"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_5>	"ἀνθρώπων"	"ἄνθρωπος"	"n-p---mg-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_1>	"ATR"	<urn:cts:greekLit:tlg0011.tlg001:1>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s1_0>	"6"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_6>	"φανείς"	"φαίνω"	"v-sappmn-"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_1>	"ATR"	<urn:cts:greekLit:tlg0011.tlg001:1>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s1_0>	"7"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_7>	","	","	"u--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_8>	"AuxX"	<urn:cts:greekLit:tlg0011.tlg001:1>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s1_0>	"8"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_8>	"ὡς"	"ὡς"	"c--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_1>	"AuxC"	<urn:cts:greekLit:tlg0011.tlg001:2>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s1_0>	"9"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_9>	"οὐκ"	"οὐ"	"d--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_12>	"AuxZ"	<urn:cts:greekLit:tlg0011.tlg001:2>
<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_sentences.v1:s1_0>	"10"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_10>	"ἂν"	"ἄν"	"g--------"	<https://github.com/francescomambrini/Daphne/id/treebanks/urn:cite2:daphne:tlg0011tlg001_tokens.v1:s1_12>	"AuxY"	<urn:cts:greekLit:tlg0011.tlg001:2>
